time,prices,market_cap,total_volumes
2021-02-10,23.18,22334799741.81557,1884256190.4570649
2021-02-11,23.53,22734504386.84818,2131291693.2757363
2021-02-12,25.12,24161179429.366028,2103920735.4379256
2021-02-13,28.64,27616676384.90755,2519169670.429951
2021-02-14,27.95,27007038181.38601,2266210239.4688272
2021-02-15,27.05,26227319235.22934,1595500661.964877
2021-02-16,27.69,26566488356.9671,2472116588.792158
2021-02-17,30.2,29114114011.07639,2701843651.3887186
2021-02-18,31.93,30712299898.00881,2323010298.124222
2021-02-19,31.16,30015246212.949078,1446625690.0175753
2021-02-20,35.03,33723084919.03054,2809304671.1877484
2021-02-21,39.37,37257080664.757454,5237458518.062277
2021-02-22,39.72,37996210717.6472,2910491062.714656
2021-02-23,37.82,36345028065.35592,4422794727.434546
2021-02-24,34.39,33192737847.942608,6044402319.652301
2021-02-25,33.73,32697522066.641846,3216425877.0109863
2021-02-26,31.19,30403400398.56049,2424342543.138615
2021-02-27,31.37,30323219597.905197,3811257872.375225
2021-02-28,33.8,32494177264.131943,3663132564.0751624
2021-03-01,33.45,32724468747.04945,3361298154.3935986
2021-03-02,35.57,34482548793.082504,2394221030.452759
2021-03-03,36.27,35162491056.98591,2652602369.6720257
2021-03-04,37.08,36037615291.30907,1846992438.6695292
2021-03-05,35.41,34325821408.80083,2017937521.415405
2021-03-06,33.72,32533163620.605686,2195167253.9325957
2021-03-07,33.49,32513187620.90908,1056302430.6437292
2021-03-08,35.24,34105986455.119774,1174423275.4810855
2021-03-09,34.97,33921422032.115574,1202842486.8403623
2021-03-10,38.4,37395351100.78027,2208593351.545486
2021-03-11,37.78,36853090170.43106,2247048891.0175467
2021-03-12,36.88,35856583093.91823,1602488721.3347497
2021-03-13,35.71,34769140591.6425,1346759594.8959148
2021-03-14,37.32,36630956614.64997,1507640392.6381807
2021-03-15,36.73,35929717095.64556,1076645082.295149
2021-03-16,34.35,33698594020.455296,1939668585.3105516
2021-03-17,35.65,34537765726.02906,1616622960.744138
2021-03-18,36.29,35349519331.46919,1407907457.9845603
2021-03-19,35.52,34684937913.02223,1130555670.2476017
2021-03-20,38.22,37374066395.854706,1816822876.654633
2021-03-21,37.5,36835725243.02955,1624244017.1843762
2021-03-22,36.77,35952735874.87629,1282812882.4768355
2021-03-23,35.52,34774273754.16565,1238649934.2621312
2021-03-24,34.29,33531597127.33813,1146831543.568595
2021-03-25,30.57,30045752287.980137,1939572978.8947408
2021-03-26,29.71,29046963177.401062,2380374370.5190663
2021-03-27,33.13,32342912958.142776,1302279715.7344959
2021-03-28,32.62,31949432348.545704,1081995006.209691
2021-03-29,32.17,31468649102.246227,872725521.1743374
2021-03-30,34.33,33490535900.76816,837849935.5380555
2021-03-31,33.93,33200100559.216576,972088014.2611275
2021-04-01,36.89,36315780875.424095,2749780924.550207
2021-04-02,37.62,36943423386.29301,2112188584.2797937
2021-04-03,40.94,40042895373.819046,2109672607.7135742
2021-04-04,41.7,41035684386.907776,3953738785.6009393
2021-04-05,44.24,43038662965.1209,2203439508.717633
2021-04-06,45.61,44120784681.118515,2101421530.2666874
2021-04-07,43.42,42688387270.04445,2250595124.9908485
2021-04-08,39.75,39229624713.84908,2407805210.9192314
2021-04-09,41.41,40700735346.47808,1386402238.6371279
2021-04-10,40.78,40088795175.58917,1063984405.5106469
2021-04-11,41.59,40822769763.2672,1301909092.0272765
2021-04-12,41.38,40683743856.07151,1220208465.547585
2021-04-13,40.56,39897746204.72769,1426647376.004758
2021-04-14,43.22,42419688929.988556,2159038658.702956
2021-04-15,42.5,41865671360.148796,2399471936.9260116
2021-04-16,43.52,42864935181.02473,1865431184.08903
2021-04-17,41.51,40968120748.56171,2098476058.2316206
2021-04-18,42.41,42045360704.400856,3622543924.235522
2021-04-19,37.37,36963739593.6074,4664575738.97489
2021-04-20,34.82,34547573875.09173,2183490705.6617746
2021-04-21,35.41,35052437008.23122,2535369660.112585
2021-04-22,34.02,33656812078.590767,2067143570.5438857
