time1,prices,market_cap,total_volumes
2021-08-06,338.28,52300826066.09576,1380115123.7795894
2021-08-07,342.28,52876121037.14549,1382018983.1624885
2021-08-08,356.22,54880391473.926216,1656565739.4411726
2021-08-09,341.46,52793795858.293,1404615891.4422364
2021-08-10,354.87,54561563300.34518,1395603017.6866174
2021-08-11,372.73,57472301267.84832,1905176129.7731366
2021-08-12,391.94,60548205332.75795,2195319497.559276
2021-08-13,385.11,59332763048.56222,2038927323.1838586
2021-08-14,410.21,63016725340.47912,1593153826.498612
2021-08-15,409.32,63344089223.878555,1812232421.462215
2021-08-16,413.35,63784043199.77024,1554988599.5371594
2021-08-17,416.91,65224358497.13265,2290119855.400846
2021-08-18,401.41,62280876139.74908,2233266778.4626274
2021-08-19,401.12,62145691624.651505,2128230790.5160668
2021-08-20,430.26,65726343115.57676,2487648986.8447065
2021-08-21,453.53,70037579538.80284,2261975810.68877
2021-08-22,450.15,69659003452.0214,2070053098.357232
2021-08-23,448.55,69395126714.92691,1602226689.0749912
2021-08-24,499.65,77267801785.69308,3634433588.097943
2021-08-25,472.57,73440151948.04544,2714285782.9572935
2021-08-26,503.06,77788566247.38934,3135514100.431467
2021-08-27,483.59,75086628042.77792,3235994014.8951435
2021-08-28,494.49,76421141931.36273,2356866526.5502834
2021-08-29,486.11,75061435375.20934,1575244679.636221
2021-08-30,481.11,74282424323.4163,1549893105.0502458
2021-08-31,461.07,71302040315.8845,1882612669.1134057
2021-09-01,466.33,72059236389.63062,2264660553.3555527
2021-09-02,490.19,75616163844.14787,2082474521.4613652
2021-09-03,484.92,74934946404.6364,2163061555.8322735
2021-09-04,487.5,75183682793.79868,1961841627.4166758
2021-09-05,499.23,77210985540.40028,2164375128.68784
2021-09-06,502.65,77580110429.22977,1654292586.8946228
2021-09-07,497.36,76823850589.04639,2038975191.8070226
2021-09-08,418.72,64719149899.39477,4229772993.3485208
2021-09-09,414.02,64391771501.81906,2645148614.5046954
2021-09-10,421.9,65361763607.67077,2170756408.113559
2021-09-11,401.63,62065949287.93618,2068447271.7592905
2021-09-12,404.15,62448302557.367645,1416277397.0075214
2021-09-13,417.78,64725512440.31579,1500885417.158933
2021-09-14,400.89,61836604514.0765,1958341644.7153294
2021-09-15,414.29,63965140618.53152,1471666239.0822508
2021-09-16,429.93,66397294535.7022,1561669782.1864479
2021-09-17,424.93,65615252928.99098,1566913036.0969064
2021-09-18,405.92,63043960569.65185,1394676417.052289
2021-09-19,411.49,63476626164.37432,1189676773.570641
2021-09-20,409.87,63338039422.34862,1153474187.8252594
2021-09-21,363.89,55807688333.67029,2187191463.612268
2021-09-22,343.89,53142685672.709526,1890967604.2297049
2021-09-23,378.3,58386015867.00316,1529450796.8179333
2021-09-24,384.85,59372501849.194,1399652340.6171107
2021-09-25,355.75,55591125028.50592,1956077739.198948
2021-09-26,351.32,54335702254.9369,1270920363.0347266
2021-09-27,344.56,54001567375.673996,1841498071.1215055
2021-09-28,335.64,51867223800.6998,1423797942.6804037
2021-09-29,332.21,51521247447.87336,1258434685.7705045
2021-09-30,368.21,56833140653.68402,2218687351.957908
2021-10-01,387.52,59862261975.878426,1699723204.6441693
2021-10-02,421.47,65027593878.11336,2049639019.1786
2021-10-03,429.35,66403151475.90375,1699720379.3068976
2021-10-04,431.45,66727470440.89087,1415239078.7746394
2021-10-05,427.55,66091266343.135185,1586207427.03375
2021-10-06,443.44,68612810246.75586,1452505521.3509912
2021-10-07,435.26,67279547298.14212,1968600658.1827505
2021-10-08,439.93,67866518612.22393,1940999669.3956227
2021-10-09,418.32,64773787608.15221,2658332981.9786153
2021-10-10,422.31,65232908458.29749,1353245268.384111
2021-10-11,404.33,62527397932.99623,1339995646.381851
2021-10-12,412.9,63683402507.01241,1424414188.0642455
2021-10-13,440.37,73896020833.16838,2953161958.3325624
2021-10-14,469.57,78760669251.04555,4647235190.17299
2021-10-15,471.84,79032448286.10008,2484696901.077151
2021-10-16,476.06,80060746880.21066,2781284707.504044
2021-10-17,467.81,78849039775.0317,1796083737.658238
2021-10-18,470.6,79058266963.29211,1637429357.9153357
2021-10-19,484.96,81885592095.6499,1999076149.1747544
2021-10-20,488.58,82011979459.14874,1825139625.9168832
